,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
4424079,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
16452501,8081,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
75577252,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
64755302,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
85856171,23,tcp,0 days 00:00:00.000233,0,0,S0,0,S,2,80,0,0,Malicious
41125982,80,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
68774137,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
5612195,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
89500797,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
70569723,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
34958425,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
89092836,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
66368150,8081,tcp,0 days 00:00:00.000255,0,0,S0,0,S,4,160,0,0,Malicious
22493960,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
3797173,8081,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
43746861,8080,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
77601082,2323,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
11026111,8081,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
64098856,23,tcp,0 days 00:00:03.126500,0,0,S0,0,S,6,360,0,0,Malicious
82480895,23,tcp,0 days 00:00:00.000231,0,0,S0,0,S,2,80,0,0,Malicious
65597711,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
44121180,80,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
9550989,80,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
33584824,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
73442752,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
22057449,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
65836854,8081,tcp,0 days 00:00:00.000255,0,0,S0,0,S,4,160,0,0,Malicious
39100053,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
64502768,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
31329216,8081,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
37905844,80,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
15451427,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
13418765,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
87235820,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
4871797,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
86548450,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
73087275,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
68263723,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
88080273,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
67467559,8081,tcp,0 days 00:00:00.000004,0,0,S0,0,S,2,80,0,0,Malicious
85280887,2323,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
68709758,8081,tcp,0 days 00:00:00.000253,0,0,S0,0,S,4,160,0,0,Malicious
12029075,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
26002384,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
44945588,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
25505596,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
45908125,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
61364360,23,tcp,0 days 00:00:03.129228,0,0,S0,0,S,6,360,0,0,Malicious
42635216,80,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
38173825,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
61440209,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,120,0,0,Malicious
21343643,80,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
75630377,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
13596104,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
81585018,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
72992304,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
79918533,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
41875204,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
83046067,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
16647638,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
67012850,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
43059839,8081,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
74774523,23,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
65797702,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
80353206,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
73138896,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
86563165,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
32888827,80,tcp,0 days 00:00:00.000004,0,0,S0,0,S,2,80,0,0,Malicious
79316586,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
85237264,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
49802191,8081,tcp,0 days 00:00:00.000003,0,0,S0,0,S,2,80,0,0,Malicious
68769106,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
65803500,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
87832073,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
70173316,23,tcp,0 days 00:00:00.000238,0,0,S0,0,S,2,80,0,0,Malicious
75497074,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
84522133,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
62322219,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,120,0,0,Malicious
63308338,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,120,0,0,Malicious
78335098,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
84245617,23,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
32698519,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
82430546,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
75760942,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
52628689,80,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
87862829,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
32691430,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
25728140,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
68648316,8081,tcp,0 days 00:00:00.000253,0,0,S0,0,S,4,160,0,0,Malicious
35018203,8081,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
50834283,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
49753137,80,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
33303074,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
368378,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
67316714,8081,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
89282269,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
86405415,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
77242649,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
7568344,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
6305744,8081,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
6852209,80,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
34991177,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
80031091,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
75127679,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
83760932,23,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
72893091,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
84035909,23,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
87362342,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
72770272,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
81110136,2323,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
18582505,80,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
21484993,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
76193236,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
68474425,8081,tcp,0 days 00:00:00.000008,0,0,S0,0,S,4,160,0,0,Malicious
80840107,23,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
66262417,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
68074045,8081,tcp,0 days 00:00:00.000254,0,0,S0,0,S,4,160,0,0,Malicious
73351022,23,tcp,0 days 00:00:00.000006,0,0,S0,0,S,2,80,0,0,Malicious
66279442,8081,tcp,0 days 00:00:00.000004,0,0,S0,0,S,2,80,0,0,Malicious
72868944,23,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
81712960,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
66301616,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
87121448,2323,tcp,0 days 00:00:00.000001,0,0,S0,0,S,2,80,0,0,Malicious
29207391,8080,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
72033010,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
6640716,8080,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
28734070,8081,tcp,0 days 00:00:00.000005,0,0,S0,0,S,2,80,0,0,Malicious
69219687,8081,tcp,0 days 00:00:00.000255,0,0,S0,0,S,4,160,0,0,Malicious
86587668,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
70591708,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
61434624,23,tcp,0 days 00:00:00.000004,0,0,S0,0,S,2,120,0,0,Malicious
2795151,8081,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
77248870,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
78644221,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
72646361,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
87219755,23,tcp,0 days 00:00:00.000002,0,0,S0,0,S,2,80,0,0,Malicious
